"protein_name";"C_mean_fxn1";"C_mean_fxn2";"C_mean_fxn3";"C_mean_fxn4";"C_mean_fxn5";"C_mean_fxn6";"C_mean_fxn7";"C_mean_fxn8";"C_mean_fxn9";"C_mean_fxn10";"C_mean_fxn11";"C_mean_fxn12";"C_mean_fxn13";"C_mean_fxn14";"C_mean_fxn15";"C_mean_fxn16";"C_mean_fxn17";"C_mean_fxn18";"C_mean_fxn19";"C_mean_fxn20";"C_mean_fxn21";"C_mean_fxn22";"C_mean_fxn23";"C_mean_fxn24";"C_mean_fxn25";"max_ctrl";"nb_max_ctrl";"R_mean_fxn1";"R_mean_fxn2";"R_mean_fxn3";"R_mean_fxn4";"R_mean_fxn5";"R_mean_fxn6";"R_mean_fxn7";"R_mean_fxn8";"R_mean_fxn9";"R_mean_fxn10";"R_mean_fxn11";"R_mean_fxn12";"R_mean_fxn13";"R_mean_fxn14";"R_mean_fxn15";"R_mean_fxn16";"R_mean_fxn17";"R_mean_fxn18";"R_mean_fxn19";"R_mean_fxn20";"R_mean_fxn21";"R_mean_fxn22";"R_mean_fxn23";"R_mean_fxn24";"R_mean_fxn25";"max_rnase";"nb_max_rnase";"nb_shift";"dist";"ctrl_peak";"ctrl_peak_amount";"ctrl_peak_amount_loss";"ctrl_peak_p_value";"rnase_peak";"rnase_peak_amount";"rnase_peak_amount_gain";"rnase_peak_p_value";"right_shift";"pb_fit"
"NUCL_HUMAN";0.0327261122475426;0.0299539596182231;0.0636161671733207;0.106725160538414;0.548220091799619;1.88756215680561;3.28179991949272;3.76696044097254;2.85788272464136;1.91056327215927;1.3440507502803;1.28282480111463;1.25635920571052;2.29242503390998;3.7973147067952;4.93392709451037;8.15047067356064;13.2959997598744;16.0081673676537;14.8736921621641;9.04753060313651;5.18892055000447;2.02537427387321;1.09486407490718;0.922068937056259;"19.1";1;0.0101627715041167;0.0211213091937992;0.0652280483174139;0.105665483570519;0.9851321312721;2.32374575970471;8.31772658062921;9.71597209670351;11.3556230325745;11.3517903418829;11.7457999453971;11.386840135348;7.48338381621029;6.26481318229526;4.49992126630984;3.17442827904776;2.15980388150059;1.63544305937152;1.14453797141416;1.02123808857378;0.906980108323514;0.849871138519275;1.2249565764994;1.28370490719769;0.966110088639047;"10.5";1;1;-8.6;19.1;78.1;98.3326;2.15636481124821e-05;10.5;94.7;82.1007;0.0547911135266498;FALSE;FALSE
"STMN1_HUMAN";1.35799748919434;7.95274578396317;25.3061838168445;31.3598994644799;25.4484310938446;7.8215803834124;0.573908816080452;0.179253152180617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"4";1;1.03967599688223;7.14801613200906;25.1788465271462;30.3695030897707;26.0232690788966;8.00783873274354;1.87089172794016;0.361958714611456;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"4";1;0;0;0;0;0;0;0;0;0;0;FALSE;FALSE
"RL31_HUMAN";0.0725597451013092;0.0273229603265265;0.0115109707763343;0.0157890600125198;0.0176369861873733;0.0140722960386441;0.0166442156422118;0.094072103593066;0.137805104246423;0.162303057172136;0.108046348519859;0.227806093703008;0.617752301381593;2.74926462511548;6.02567548899192;9.47549764714005;11.1836653907054;13.3211149322034;15.0438285309944;15.2012964636496;11.7119841409219;6.94655449092285;3.54867929108422;1.90915085934205;1.35996689622783;"18.9";1;0.0121389316478706;0.150008203056171;0.534637168032189;1.00506664363251;1.67167391116022;1.38678415700679;2.04175519450223;2.40802837461467;3.07846040288554;2.3636030275402;1.6866548091983;2.92402181466129;6.4022267845683;8.00636822309452;6.95575660323157;4.47406428019554;3.25136857997;3.68326454817695;3.78890624784772;4.06806152825758;4.41563957307137;4.37445447310473;7.18935167810847;10.1186047579925;14.0091000844427;"14.1, 19.3, 25";3;2;-4.8;18.9;98.9;74.3281;0.000491169419414047;14.1;23.5;66.2487;8.40556180804206e-05;FALSE;FALSE
"RL31_HUMAN";0.0725597451013092;0.0273229603265265;0.0115109707763343;0.0157890600125198;0.0176369861873733;0.0140722960386441;0.0166442156422118;0.094072103593066;0.137805104246423;0.162303057172136;0.108046348519859;0.227806093703008;0.617752301381593;2.74926462511548;6.02567548899192;9.47549764714005;11.1836653907054;13.3211149322034;15.0438285309944;15.2012964636496;11.7119841409219;6.94655449092285;3.54867929108422;1.90915085934205;1.35996689622783;"18.9";1;0.0121389316478706;0.150008203056171;0.534637168032189;1.00506664363251;1.67167391116022;1.38678415700679;2.04175519450223;2.40802837461467;3.07846040288554;2.3636030275402;1.6866548091983;2.92402181466129;6.4022267845683;8.00636822309452;6.95575660323157;4.47406428019554;3.25136857997;3.68326454817695;3.78890624784772;4.06806152825758;4.41563957307137;4.37445447310473;7.18935167810847;10.1186047579925;14.0091000844427;"14.1, 19.3, 25";3;2;6.1;18.9;98.9;74.3281;0.000491169419414047;25;26;93.035;0.00227736667990151;TRUE;FALSE
"RL29_HUMAN";0.0850439434788929;0.0363586730559362;0.0182617491867709;0.0226881115550536;0.0508546037204309;0.208958624477971;0.431590416080319;0.681531625579269;1.11457269689269;1.30415141578255;1.75054523192731;1.42622257043133;1.33565737006266;2.04034140856868;3.77576722299248;8.92216643863017;10.0991649702656;15.0000277494966;14.1907591216167;13.919614355225;10.4374583315087;6.23924370914448;4.36713638570606;1.33741856458021;1.20446471003421;"18.9";1;0.0122214761134879;0.0446510297439189;0.108150022182501;0.238730881329168;2.25548403223803;5.21194030176093;11.8340847319047;11.0628780486162;10.9717558320473;7.25130039407655;11.3322193098371;9.96711744027617;7.82230272454417;3.17199495895687;1.99201636435791;2.11552871337043;1.59098262296483;1.61764703289404;0.924196046957473;0.885890499931865;1.14773422263099;1.00566270773996;1.5181053576253;2.11067942576987;3.80672582213031;"7.6, 11.7";2;2;-11.3;18.9;92.8;91.5282;0.0020786561775822;7.6;38.5;99.9956;0.0245210062659769;FALSE;FALSE
"RL29_HUMAN";0.0850439434788929;0.0363586730559362;0.0182617491867709;0.0226881115550536;0.0508546037204309;0.208958624477971;0.431590416080319;0.681531625579269;1.11457269689269;1.30415141578255;1.75054523192731;1.42622257043133;1.33565737006266;2.04034140856868;3.77576722299248;8.92216643863017;10.0991649702656;15.0000277494966;14.1907591216167;13.919614355225;10.4374583315087;6.23924370914448;4.36713638570606;1.33741856458021;1.20446471003421;"18.9";1;0.0122214761134879;0.0446510297439189;0.108150022182501;0.238730881329168;2.25548403223803;5.21194030176093;11.8340847319047;11.0628780486162;10.9717558320473;7.25130039407655;11.3322193098371;9.96711744027617;7.82230272454417;3.17199495895687;1.99201636435791;2.11552871337043;1.59098262296483;1.61764703289404;0.924196046957473;0.885890499931865;1.14773422263099;1.00566270773996;1.5181053576253;2.11067942576987;3.80672582213031;"7.6, 11.7";2;2;-7.2;18.9;92.8;91.5282;0.0020786561775822;11.7;38.7;97.8287;0.012316017593598;FALSE;FALSE
"SUMO2_HUMAN";0.354617202088289;9.19799934344327;20.3349904303635;29.4294126784315;22.6128263362085;12.9248939253972;3.4390997713581;1.63470901894438;0.067444608806025;0.00400668495917041;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"4.2";1;0.259176759497697;7.24940003972506;17.249755891955;23.6670419731093;23.5982689479587;15.6710138905437;9.29183000488853;2.58522162058919;0.425728572608311;0.00256229912449675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"4.5";1;0;0;0;0;0;0;0;0;0;0;FALSE;FALSE
"PCNP_HUMAN";1.67363150667457;8.02656381569996;23.2949265435972;29.4200876505753;24.1146192682891;9.10588058484205;1.92954544344536;0.86276620473954;0.0543690198159329;0.183969508990853;0.212624441758379;0.377416037745587;0.202550557172818;0.173895624405292;0;0.122384597416022;0.122384597416022;0.122384597416022;0;0;0;0;0;0;0;"4";1;1.02095223285311;6.69355015933975;19.7765255992487;25.5210272232716;24.99381160561;12.7701579787671;6.20575895144596;1.33946501433056;0.169474584001672;0.143688727180174;0.231510773455484;0.480011596657372;0.365971663165451;0.278149616890141;0;0.00331475792759903;0.00331475792759903;0.00331475792759903;0;0;0;0;0;0;0;"4.3";1;0;0;0;0;0;0;0;0;0;0;FALSE;FALSE
"RS19_HUMAN";0.0917701727289816;0.0459168649650935;0.0744900569306155;0.14172104625888;0.231058516100188;0.280525170180091;0.383961423847563;0.798510493777032;1.06638212172035;1.13459683357366;0.926151318923695;0.834688543321977;1.05821636874971;2.79433788031521;5.92316449135695;9.68526125756261;14.0430665858147;15.2359731654903;15.603891891349;11.5030186815716;8.74892871161481;4.66204818318737;2.84846303695319;1.21780009109859;0.666057092607886;"18.3";1;0.0415511974762916;0.682349001080263;3.21886393098317;6.96210600159915;12.165911551716;11.1818352869966;14.8272682537484;11.7906476014344;13.082882750343;6.91078311526889;5.58146352370951;3.57963195273583;3.18703655779266;2.22091535122317;1.6277289413183;0.969982343291446;0.578017621478309;0.362619589699984;0.218758255578185;0.117131753610698;0.116684641551699;0.088618503029501;0.169615763257949;0.170865133811355;0.146731377265257;"6.8";1;1;-11.5;18.3;94.2;98.0666;0.00149858816508166;6.8;78.3;99.9989;0.000659902289241107;FALSE;FALSE
"RS4X_HUMAN";0.0396748552977346;0.0153051597335353;0.0208745177390688;0.0224092854092928;0.030832321814025;0.0168047431985067;0.0342976234010292;0.174707281467678;0.435080228204315;0.599042822882612;0.598926433597165;0.609634625647811;0.76684721234537;2.02247485723889;5.111697619769;8.22116026789304;11.7351934569108;16.5866388156121;17.1408574579329;15.478780645393;9.21541207680855;5.87909982550284;2.99077912621117;1.34159096271317;0.911877777276456;"18.7";1;0.011505156298421;0.0147426778902161;0.131545187285169;0.158650224989977;0.53837726968313;0.488406994829734;1.95321045216646;3.02558848937051;6.00947401309712;6.38291969801824;6.87031944352769;7.39105822129306;8.78932823287962;10.3182066263454;8.96803140101525;7.88525868413674;5.64334122392739;4.8246195703737;3.31418677968371;2.59668406575896;1.91736510662279;1.79023169339961;2.22756048806502;3.31271062829951;5.43667767104261;"13.6, 25";2;2;-5.1;18.7;98.3;77.4839;4.20224937586288e-05;13.6;88.4;84.2664;0.000208969770457298;FALSE;FALSE
